"ef_regulation","ef_trade","ef_money","ef_legal","ef_government","pf_identity","pf_expression","pf_association","pf_religion","pf_movement","pf_ss","pf_rol","pf_ss_homicide","pf_ss_disappearances_disap","pf_ss_disappearances_violent","pf_ss_disappearances_organized","pf_ss_disappearances_fatalities","pf_ss_disappearances_injuries"
7.958677586,6.859851664,8.592263953,5.07420081,7.430473655,6.25,9.535714286,9.5,9.305555556,8.333333333,6.5,5.403823101,0,10,10,7.5,10,10
8.19699977,7.495838941,9.524658793,7.586986576,4.535267724,9.25,9.19047619,7.5,8.092592593,10,9.678364609,7.643490079,9.886590676,10,10,10,9.950129078,9.959053348
7.771994872,7.579245331,9.618102308,4.756454971,7.586859201,3.333333333,6.595238095,5,6.333703704,6.666666667,7.984281664,5.798807684,9.380948921,10,8.801441344,7.5,8.766189619,8.625182719
7.538105028,6.522959426,8.551346498,5.44835482,7.513578869,9.25,6.140106103,4,5.508888889,5,9.005172166,4.537932016,8.077708358,10,10,5,9.812675117,9.876365577
7.364484937,6.685544813,9.21911917,4.913284598,7.821194755,7.5,8.333333333,7,7.214814815,6.666666667,7.142406129,3.953814707,8.050625664,0,9.662963161,5,9.504762196,9.715238263
7.243194392,7.569456911,9.609132499,6.391153586,6.826429472,9.25,8.976190476,9.5,9.353333333,8.333333333,9.462073664,7.438182909,9.719554326,10,10,7.5,10,10
7.430758483,6.840410269,8.342265724,4.922444725,6.23731806,1.666666667,7.464285714,4,4.645925926,5,8.189148143,5.222398432,9.260431751,10,10,7.5,9.917747952,9.950648771
6.640485354,7.318966216,9.35947549,4.259098098,7.079276344,8,6.234615306,6.14299529568182,7.130555556,5,7.998438746,3.807027642,8.20584616,5,10,2.5,9.94517093,9.835512789
6.590032884,6.830397459,7.335898763,5.93720088,7.840112728,10,5.761904762,0.5,6.731111111,5,8.303656159,3.953482175,7.196007178,10,10,7.5,9.852034956,9.556104868
7.661097526,8.350138737,9.323349908,6.196792987,6.653293105,10,9.380952381,10,8.546296296,10,9.551688703,6.681684163,8.65506611,10,10,10,10,10
5.825303663,6.815739369,9.694505034,3.954385717,8.668506808,3.333333333,8.297619048,9,7.153703704,6.666666667,7.599723612,4.339724004,8.402759271,10,10,2.5,8.612652916,7.536071579
7.369101847,6.335844473,7.838977455,5.449082642,4.882119871,5.625,7.541666667,9.07862929875412,9.230555556,10,5.666666667,4.888498063,0,10,10,7.5,10,10
5.696074829,6.188037156,9.362209474,4.186922888,7.364113374,4.166666667,7.208333333,7.44287457419582,9.207777778,6.666666667,8.202872283,3.786012471,8.70861685,10,10,7.5,10,10
5.301138017,4.76377485,5.659898222,3.206338892,4.75,0.833333333,4.845238095,2.5,6.938888889,5,5.27726086,2.198017505,8.998449247,5,0,0,0,0
8.035642881,8.191708434,9.340337377,6.499517474,7.233303802,10,9.5,10,8.472592593,10,9.300417808,6.79590086,7.901253425,10,10,10,10,10
7.870923216,8.309030967,9.310500088,8.350836767,4.169356156,9.25,9.678571429,10,9.140740741,10,9.904131225,7.897751196,9.712393676,10,10,10,10,10
8.201781057,7.956208009,8.131423715,5.070281017,6.278313623,9.25,7.845238095,8,8.334814815,6.666666667,8.621539803,4.994404463,9.364619409,10,10,5,10,10
5.834452003,6.704622081,7.895528282,2.789804983,7.701839237,7.5,8.273809524,5.5,7.540740741,10,8.201458953,3.613214977,6.925294149,10,10,7.5,9.959830567,9.268916318
5.759673978,6.076899619,6.723936391,4.673626155,6.058152642,7.5,7.8125,8.41314757738075,8.532777778,8.333333333,8.768905416,4.922643465,9.306716248,10,10,7.5,10,10
8.622790943,7.537110669,5.792303901,5.760370476,6.86283807,4.25,6.797619048,4,3.93,5,8.599348146,5.42152405,9.155746692,10,10,10,9.93587126,9.942284134
6.531318665,6.874991085,7.2042189,3.458599238,4.943583748,5,7.869047619,7.5,8.601851852,8.333333333,5.391779112,3.930245651,5.638729609,5,8.22171215,2.5,6.739805608,7.554854206
8.167028374,8.421271575,9.481213334,6.64958271,5.917352957,10,9.44047619,10,8.44962963,10,9.875277508,6.880670013,9.625832523,10,10,9.18901726389192,10,10
6.712624203,5.939447829,8.099707313,3.72380883,5.329411765,0,6.001186054,5.5,5.661111111,8.333333333,5.818886343,3.93386056,6.023325695,5,10,5,10,10
7.747574312,8.425298409,9.587632401,6.764334254,7.510213253,5,9.357142857,9,8.03,6.666666667,9.201518449,6.446820269,9.271222015,10,10,10,10,10
7.109701358,7.259592913,8.106594619,4.127169241,7.915761741,10,6.980011483,8.5,7.568888889,10,6.041886151,3.922635286,2.294415961,0,10,7.5,9.989545798,10
6.905421487,7.458865245,7.98337132,4.337326557,6.499386736,10,7.369047619,6,6.046296296,8.333333333,8.685224302,4.451422898,8.722339573,10,10,5,10,10
7.2582965,6.780282764,9.38778724,5.554938942,7.999648709,9.25,8.238095238,8.5,8.584814815,10,8.912543798,5.251542395,7.737631393,5,10,10,10,10
6.938460069,8.161279127,8.267822773,4.923546896,6.926470588,9,5.229166667,7.93613675054987,8.887777778,10,8.858876513,5.103067796,8.217753026,10,10,7.5,10,10
6.350932975,6.931294938,7.216671133,5.401407689,5.930876255,3.333333333,7.297619048,5,4.429259259,8.333333333,8.390437218,4.19917084,9.504644988,10,10,5,10,10
5.083526294,6.392158043,5.964423944,3.96822373,6.115107764,10,7.607142857,2.5,7.896296296,8.333333333,8.550985219,3.551132365,8.63827767,10,9.699381749,5,9.283141093,9.424200426
5.807434505,4.967560927,6.480574507,3.545876002,6.297058824,4.375,7.544895499,7,6.346296296,1.666666667,8.103918555,2.976381536,9.093876059,5,9.268856885,5,9.539884074,9.780657066
7.757162078,6.355514643,6.141285904,6.437481728,5.284715285,8,8.25,7,8.725925926,10,6.992669937,5.796621702,3.144676479,10,10,7.5,10,10
7.05139505,6.635041574,6.43556234,4.608534674,7.916691709,10,6.702380952,5,5.187777778,8.333333333,9.256317317,4.300731416,9.134488325,10,10,7.5,9.942494571,9.896490229
8.272654841,8.657087014,9.503556089,8.160260143,3.933138933,9.25,9.726190476,10,8.894444444,10,9.922564664,8.524550809,9.778654838,10,10,10,9.980427059,9.964768706
9.159782185,8.635970884,9.455371519,8.715280315,6.476854205,9.25,9.523809524,10,9.731481481,10,9.868614098,7.868546129,9.605842293,10,10,10,10,10
7.002229453,7.81743925,9.100671988,4.450667177,7.990441176,6.875,7.047619048,4,7.912592593,8.333333333,8.295494493,3.767066422,7.053150145,10,10,7.5,10,10
7.058349425,5.485204757,7.016807914,3.659423094,6.844368088,4.166666667,5.345238095,5.5,7.804074074,6.666666667,6.914378347,4.150643838,8.222386047,10,5.581996287,2.5,7.03316539,8.655249965
7.56483519,5.90423347,7.46087942,3.603779382,7.086182942,3.333333333,8.175114352,9,7.327777778,6.666666667,5.166301919,4.327010052,6.060660057,0,5.644918717,2.5,6.121647779,8.757995338
7.733422163,7.587806425,9.499277343,8.67833928,4.49513252,10,9.797619048,10,7.407407407,10,9.93142597,8.556487979,9.794277909,10,10,10,10,10
6.830653545,7.707575433,8.789594455,5.938543854,4.533714916,0,5.345238095,2.5,5.033333333,6.666666667,8.356922801,5.861202814,9.737435069,10,10,7.5,10,10
